Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Business address,Number of patrons,x coordinate,y coordinate,Location
2002,11,103993,103993,508-514 Flinders Street MELBOURNE 3000,Melbourne (CBD),508-514 Flinders Street MELBOURNE 3000,400,144.9572,-37.8202,POINT (144.9572 -37.8202)
2002,11,108971,108971,24-40 Spencer Street MELBOURNE 3000,Melbourne (CBD),561-585 Spencer Street MELBOURNE 3000,100,144.9552,-37.8202,POINT (144.9552 -37.8202)
2002,11,108972,108972,10-22 Spencer Street MELBOURNE 3000,Melbourne (CBD),10-22 Spencer Street MELBOURNE 3000,50,144.9552,-37.8205,POINT (144.9552 -37.8205)
2002,13,108058,108058,7-11 Queen Street MELBOURNE 3000,Melbourne (CBD),"Basement , 11 Queen Street MELBOURNE 3000",210,144.9619,-37.8186,POINT (144.9619 -37.8186)
2002,14,101099,101099,16-26 Bond Street MELBOURNE 3000,Melbourne (CBD),"Ground , 20-24 Bond Street MELBOURNE 3000",280,144.9631,-37.8181,POINT (144.9631 -37.8181)
2002,14,103165,103165,1-5 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),"Unit 1, 1-5 Elizabeth Street MELBOURNE 3000",270,144.9646,-37.8181,POINT (144.9646 -37.8181)
2002,14,103172,103172,31-39 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),35 Elizabeth Street MELBOURNE 3000,350,144.9643,-37.8174,POINT (144.9643 -37.8174)
2002,14,103951,103951,341-347 Flinders Lane MELBOURNE 3000,Melbourne (CBD),347 Flinders Lane MELBOURNE 3000,200,144.9630,-37.8178,POINT (144.963 -37.8178)
2002,15,103944,103944,277-279 Flinders Lane MELBOURNE 3000,Melbourne (CBD),"Unit 1, Basement , 277 Flinders Lane MELBOURNE 3000",400,144.9653,-37.8172,POINT (144.9653 -37.8172)
2002,15,109257,109257,1-7 Swanston Street MELBOURNE 3000,Melbourne (CBD),1-7 Swanston Street MELBOURNE 3000,450,144.9670,-37.8174,POINT (144.967 -37.8174)
2002,16,103938,103938,187 Flinders Lane MELBOURNE 3000,Melbourne (CBD),187 Flinders Lane MELBOURNE 3000,80,144.9684,-37.8164,POINT (144.9684 -37.8164)
2002,16,104018,104018,172-192 Flinders Street MELBOURNE 3000,Melbourne (CBD),"Ground , 191 Flinders Street MELBOURNE 3000",100,144.9685,-37.8166,POINT (144.9685 -37.8166)
2002,17,103925,103925,121-123 Flinders Lane MELBOURNE 3000,Melbourne (CBD),"Unit 1, Gnd & Bmt , 121 Flinders Lane MELBOURNE 3000",350,144.9705,-37.8157,POINT (144.9705 -37.8157)
2002,23,102098,102098,415-417 Collins Street MELBOURNE 3000,Melbourne (CBD),"Basement , 415 Collins Street MELBOURNE 3000",70,144.9609,-37.8175,POINT (144.9609 -37.8175)
2002,32,102117,102117,500-514 Collins Street MELBOURNE 3000,Melbourne (CBD),"Part Level 1, 525 Collins Street MELBOURNE 3000",250,144.9575,-37.8175,POINT (144.9575 -37.8175)
2002,33,105933,105933,425-427 Little Collins Street MELBOURNE 3000,Melbourne (CBD),"Ground , 425 Little Collins Street MELBOURNE 3000",170,144.9605,-37.8163,POINT (144.9605 -37.8163)
